Sehenswuerdigkeiten,Ort_Sehenswuerdigkeit,ortsteil
http://www.semanticweb.org/minhpham/ontologies/2017/5/Mendebrunnen,http://www.semanticweb.org/minhpham/ontologies/2017/5/Augustusplatz,"Zentrum, Zentrum-Ost, Zentrum-Südost"
http://www.semanticweb.org/minhpham/ontologies/2017/5/B%C3%BCrgerkomitee+Leipzig+e.V.,http://www.semanticweb.org/minhpham/ontologies/2017/5/Dittrichring,"Zentrum, Zentrum-West"
http://www.semanticweb.org/minhpham/ontologies/2017/5/S%C3%BCdfriedhof+Leipzig,http://www.semanticweb.org/minhpham/ontologies/2017/5/Friedhofsweg,Probstheida
http://www.semanticweb.org/minhpham/ontologies/2017/5/GRASSI+Museum,http://www.semanticweb.org/minhpham/ontologies/2017/5/Johannisplatz,"Zentrum-Ost, Zentrum-Südost"
http://www.semanticweb.org/minhpham/ontologies/2017/5/Museum+der+bildenden+K%C3%BCnste+Leipzig,http://www.semanticweb.org/minhpham/ontologies/2017/5/Katharinenstraße,Zentrum
http://www.semanticweb.org/minhpham/ontologies/2017/5/Wildpark+Leipzig,http://www.semanticweb.org/minhpham/ontologies/2017/5/Koburger+Stra%C3%9Fe,Connewitz
http://www.semanticweb.org/minhpham/ontologies/2017/5/Stadtgeschichtliches+Museum+Leipzig%2C+Altes+Rathaus,http://www.semanticweb.org/minhpham/ontologies/2017/5/Markt,Zentrum
http://www.semanticweb.org/minhpham/ontologies/2017/5/Stadt+Leipzig,http://www.semanticweb.org/minhpham/ontologies/2017/5/Martin-Luther-Ring,"Zentrum, Zentrum-Süd, Zentrum-West"
http://www.semanticweb.org/minhpham/ontologies/2017/5/Gohliser+Schl%C3%B6sschen+%28Schloss%29,http://www.semanticweb.org/minhpham/ontologies/2017/5/Menckestraße,Gohlis-Süd
http://www.semanticweb.org/minhpham/ontologies/2017/5/Nikolaikirche+Leipzig,http://www.semanticweb.org/minhpham/ontologies/2017/5/Nikolaikirchhof,Zentrum
http://www.semanticweb.org/minhpham/ontologies/2017/5/Russische+Ged%C3%A4chtniskirche,http://www.semanticweb.org/minhpham/ontologies/2017/5/Philipp-Rosenthal-Straße,"Reudnitz-Thonberg, Zentrum-Südost"
http://www.semanticweb.org/minhpham/ontologies/2017/5/Panometer+Leipzig,http://www.semanticweb.org/minhpham/ontologies/2017/5/Richard-Lehmann-Straße,"Connewitz, Marienbrunn, Probstheida, Südvorstadt, Zentrum-Südost"
http://www.semanticweb.org/minhpham/ontologies/2017/5/Voelkerschlachtdenkmal,http://www.semanticweb.org/minhpham/ontologies/2017/5/Stra%C3%9Fe+des+18.+Oktober,"Probstheida, Zentrum-Südost"
http://www.semanticweb.org/minhpham/ontologies/2017/5/Bach-Museum+Leipzig,http://www.semanticweb.org/minhpham/ontologies/2017/5/Thomaskirchhof,Zentrum
http://www.semanticweb.org/minhpham/ontologies/2017/5/Thomaskirche,http://www.semanticweb.org/minhpham/ontologies/2017/5/Thomaskirchhof,Zentrum
http://www.semanticweb.org/minhpham/ontologies/2017/5/Holocaust+memorial+Leipzig+germany,http://www.semanticweb.org/minhpham/ontologies/2017/5/Zentralstraße,Zentrum-West
